gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d046513	1	mu1084389	UFMu-10193	1	NA	NA	NA	NA	FALSE	Zm00004b032842	One-to-One	mRNA	moderate	missense_variant
Zm00001d046517	1	mu1088211	UFMu-11119	1	MYB	163	140	140/163	TRUE	Zm00004b032843,Zm00004b032844,Zm00004b032845	Many-to-Many	mRNA	non-syntenic	missense_variant
Zm00001d046518	1	mu1088211	UFMu-11119	1	MYB	163	141	141/163	TRUE	Zm00004b032843,Zm00004b032844,Zm00004b032845	Many-to-Many	mRNA	moderate	missense_variant
Zm00001d046520	2	mu1021795|mu1031904	UFMu-04507,UFMu-05386|UFMu-02858	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d046533	1	mu1042019	UFMu-04970	1	NA	NA	NA	NA	FALSE	Zm00004b032859	One-to-One	mRNA	moderate	missense_variant
Zm00001d046534	3	mu1040415|mu1070005|mu1095659	UFMu-03795|UFMu-08338|UFMu-14014	>=3	NA	NA	NA	NA	FALSE	Zm00004b032860	One-to-One	mRNA	moderate	missense_variant
Zm00001d046538	4	mu1046176|mu1046176|mu1061462|mu1095660	UFMu-05698|UFMu-09544|UFMu-07863|UFMu-12061	>=3	NA	NA	NA	NA	FALSE	Zm00004b032863	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d046545	2	mu1018675|mu1082131	UFMu-01004,UFMu-02633,UFMu-06469|UFMu-09478	2	NA	NA	NA	NA	FALSE	Zm00004b032868	One-to-One	mRNA	modifier	intron_variant
Zm00001d046553	1	mu1030737	UFMu-02896	1	NA	NA	NA	NA	FALSE	Zm00004b032874	One-to-One	mRNA	no_change	NA
Zm00001d046554	1	mu1042017	UFMu-04970	1	NA	NA	NA	NA	FALSE	Zm00004b032875	One-to-One	mRNA	no_change	NA
Zm00001d046555	3	mu1033807|mu1041997|mu1070006	UFMu-03192|UFMu-04529|UFMu-08433	>=3	NA	NA	NA	NA	FALSE	Zm00004b032876	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d046561	1	mu1016836	UFMu-02422	1	NA	NA	NA	NA	FALSE	Zm00004b032882	One-to-One	mRNA	high	frameshift_variant
Zm00001d046564	2	mu1016837|mu1075716	UFMu-01110,UFMu-01790|UFMu-05735	2	bZIP	128	107	107/128	TRUE	Zm00004b032884	One-to-One	mRNA	moderate	missense_variant
Zm00001d046568	3	mu1022408|mu1050134|mu1079084	UFMu-02006,UFMu-07565|UFMu-06414|UFMu-09036	>=3	TALE	28	25	25/28	TRUE	Zm00004b032885	One-to-One	mRNA	low	synonymous_variant
Zm00001d046569	6	mu1021076|mu1054915|mu1054916|mu1070007|mu1079085|mu1094064	UFMu-01495,UFMu-02017|UFMu-06718|UFMu-06757|UFMu-08833|UFMu-09141|UFMu-11211	>=3	NA	NA	NA	NA	FALSE	Zm00004b032886	One-to-One	mRNA	moderate	missense_variant
Zm00001d046581	2	mu1027119|mu1035223	UFMu-03934|UFMu-03482	2	NA	NA	NA	NA	FALSE	Zm00004b032893,Zm00004b032894	Many-to-One	mRNA	non-syntenic	missense_variant
Zm00001d046586	3	mu1007334|mu1029857|mu1068987	UFMu-00386|UFMu-02476|UFMu-08739	>=3	NA	NA	NA	NA	FALSE	Zm00004b032900	One-to-One	mRNA	moderate	missense_variant
Zm00001d046587	3	mu1040424|mu1042000|mu1070657	UFMu-03773|UFMu-04413|UFMu-02929	>=3	NA	NA	NA	NA	FALSE	Zm00004b032901	One-to-One	mRNA	moderate	missense_variant
Zm00001d046590	3	mu1080231|mu1094066|mu1095661	UFMu-09282,UFMu-13051|UFMu-12186|UFMu-11271	>=3	NA	NA	NA	NA	FALSE	Zm00004b032902	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d046593	2	mu1018095|mu1058340	UFMu-00644|UFMu-07303	2	NA	NA	NA	NA	FALSE	Zm00004b032906	One-to-One	mRNA	moderate	missense_variant
Zm00001d046601	2	mu1054921|mu1082133	UFMu-06542|UFMu-09550	2	NA	NA	NA	NA	FALSE	Zm00004b032914	One-to-One	mRNA	high	frameshift_variant
Zm00001d046602	6	mu1009941|mu1017741|mu1017741|mu1068988|mu1073126|mu1094068	UFMu-00153,UFMu-12261|UFMu-01147|UFMu-11006|UFMu-08588,UFMu-10508,UFMu-10960,UFMu-11265|UFMu-03307|UFMu-13979	>=3	NA	NA	NA	NA	FALSE	Zm00004b032915	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d046616	1	mu1042014	UFMu-04869	1	NA	NA	NA	NA	FALSE	Zm00004b032926	One-to-One	mRNA	moderate	missense_variant
Zm00001d046621	1	mu1054922	UFMu-06724	1	AP2	28	25	25/28	TRUE	Zm00004b032929	One-to-One	mRNA	moderate	missense_variant
Zm00001d046625	2	mu1018876|mu1065001	UFMu-01153|UFMu-01153	2	NA	NA	NA	NA	FALSE	Zm00004b032931	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d046626	5	mu1042013|mu1054923|mu1079090|mu1080232|mu1082134	UFMu-04869|UFMu-06894|UFMu-09187|UFMu-08978|UFMu-09566	>=3	NA	NA	NA	NA	FALSE	Zm00004b032933	One-to-One	mRNA	no_change	NA
Zm00001d046628	2	mu1016839|mu1035079	UFMu-01972|UFMu-03287,UFMu-05113	2	NA	NA	NA	NA	FALSE	Zm00004b032935	One-to-One	mRNA	moderate	missense_variant
Zm00001d046630	1	mu1084394	UFMu-10524	1	NA	NA	NA	NA	FALSE	Zm00004b032937	One-to-One	mRNA	moderate	missense_variant
Zm00001d046642	1	mu1040427	UFMu-03839	1	NA	NA	NA	NA	FALSE	Zm00004b032942	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d046643	1	mu1061469	UFMu-07970	1	NA	NA	NA	NA	FALSE	Zm00004b032943	One-to-One	mRNA	moderate	missense_variant
Zm00001d046652	1	mu1088214	UFMu-11134	1	NA	NA	NA	NA	FALSE	Zm00004b032952	One-to-One	mRNA	moderate	missense_variant
Zm00001d046654	1	mu1033519	UFMu-03111	1	NA	NA	NA	NA	FALSE	Zm00004b032953	One-to-One	mRNA	moderate	missense_variant
Zm00001d046655	1	mu1068994	UFMu-08576	1	NA	NA	NA	NA	FALSE	Zm00004b032954	One-to-One	mRNA	high	frameshift_variant
Zm00001d046660	2	mu1079091|mu1094074	UFMu-09368|UFMu-13191	2	NA	NA	NA	NA	FALSE	Zm00004b032957	One-to-One	mRNA	moderate	missense_variant
Zm00001d046663	1	mu1035758	UFMu-03463	1	NA	NA	NA	NA	FALSE	Zm00004b032959	One-to-One	mRNA	moderate	missense_variant
Zm00001d046679	3	mu1034027|mu1046182|mu1061470	UFMu-03515|UFMu-05923|UFMu-07964	>=3	NA	NA	NA	NA	FALSE	Zm00004b032970	One-to-One	mRNA	moderate	missense_variant
Zm00001d046680	1	mu1058347	UFMu-07422	1	NA	NA	NA	NA	FALSE	Zm00004b032971	One-to-One	mRNA	moderate	missense_variant
Zm00001d046681	1	mu1007350	UFMu-00254,UFMu-01153,UFMu-03203,UFMu-05381,UFMu-06470,UFMu-10975,UFMu-11204	1	NA	NA	NA	NA	FALSE	Zm00004b032972	One-to-One	mRNA	moderate	missense_variant
Zm00001d046683	2	mu1035084|mu1042012	UFMu-05357|UFMu-05287	2	NA	NA	NA	NA	FALSE	Zm00004b032976	One-to-One	mRNA	no_change	NA
Zm00001d046684	6	mu1016843|mu1016843|mu1033552|mu1033552|mu1068995|mu1075718	UFMu-01087,UFMu-01734,UFMu-02187,UFMu-04509,UFMu-05059|UFMu-10649|UFMu-03290,UFMu-06838|UFMu-11122|UFMu-08674|UFMu-05892	>=3	NA	NA	NA	NA	FALSE	Zm00004b032977	One-to-One	mRNA	moderate	missense_variant
Zm00001d046690	4	mu1006873|mu1040430|mu1071582|mu1087527	UFMu-00576|UFMu-03656,UFMu-08143|UFMu-02510|UFMu-11016	>=3	NA	NA	NA	NA	FALSE	Zm00004b032980	One-to-One	mRNA	moderate	missense_variant
Zm00001d046691	1	mu1042011	UFMu-04999	1	NA	NA	NA	NA	FALSE	Zm00004b032981	One-to-One	mRNA	non-syntenic	frameshift_variant
Zm00001d046700	2	mu1071583|mu1094077	UFMu-02496|UFMu-12592	2	NA	NA	NA	NA	FALSE	Zm00004b032986	One-to-One	mRNA	moderate	missense_variant
Zm00001d046717	3	mu1007320|mu1017964|mu1054932	UFMu-00282|UFMu-01065|UFMu-06838	>=3	NA	NA	NA	NA	FALSE	Zm00004b032993	One-to-One	mRNA	high	frameshift_variant
Zm00001d046718	4	mu1016844|mu1016844|mu1029219|mu1094078	UFMu-01231|UFMu-11690|UFMu-02481|UFMu-12044	>=3	bZIP	128	109	109/128	TRUE	Zm00004b032994	One-to-One	mRNA	moderate	missense_variant
Zm00001d046719	2	mu1079095|mu1079096	UFMu-09060|UFMu-08903	2	NA	NA	NA	NA	FALSE	Zm00004b032995	One-to-One	mRNA	moderate	missense_variant
Zm00001d046723	1	mu1007790	UFMu-00460,UFMu-06462	1	NA	NA	NA	NA	FALSE	Zm00004b033000	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d046726	1	mu1061212	UFMu-07774	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d046740	5	mu1030447|mu1030447|mu1042176|mu1054613|mu1054614	UFMu-02703|UFMu-06650|UFMu-05108|UFMu-06591|UFMu-06631	>=3	C3H	55	49	49/55	TRUE	Zm00004b033021	One-to-One	mRNA	no_change	NA
Zm00001d046742	1	mu1093608	UFMu-12634	1	NA	NA	NA	NA	FALSE	Zm00004b033022	One-to-One	mRNA	modifier	intron_variant
Zm00001d046747	1	mu1068729	UFMu-08498	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	frameshift_variant
Zm00001d046748	1	mu1001894	UFMu-00345,UFMu-01304	1	NA	NA	NA	NA	FALSE	Zm00004b033029	One-to-One	mRNA	moderate	missense_variant
Zm00001d046754	1	mu1019785	UFMu-00867	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d046755	1	mu1095528	UFMu-11153	1	ARR-B	9	8	8/9	TRUE	Zm00004b033033	One-to-One	mRNA	moderate	missense_variant
Zm00001d046758	1	mu1019783	UFMu-00829	1	NA	NA	NA	NA	FALSE	Zm00004b033036	One-to-One	mRNA	moderate	missense_variant
Zm00001d046759	6	mu1016847|mu1016848|mu1040125|mu1049838|mu1049838|mu1072077	UFMu-01781,UFMu-04510,UFMu-04890|UFMu-06525,UFMu-06890,UFMu-07758|UFMu-03264|UFMu-06484|UFMu-11211|UFMu-02101,UFMu-03416,UFMu-04510,UFMu-09141	>=3	bHLH	190	166	166/190	TRUE	Zm00004b033038	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d046761	2	mu1017126|mu1078810	UFMu-01240|UFMu-09026,UFMu-10914	2	NA	NA	NA	NA	FALSE	Zm00004b033039	One-to-One	mRNA	moderate	missense_variant
Zm00001d046764	1	mu1087337	UFMu-10924	1	NA	NA	NA	NA	FALSE	Zm00004b033041	One-to-One	mRNA	moderate	missense_variant
Zm00001d046765	1	mu1021351	UFMu-01698	1	NA	NA	NA	NA	FALSE	Zm00004b033042	One-to-One	mRNA	high	splice_donor_variant
Zm00001d046767	1	mu1068730	UFMu-08754	1	NA	NA	NA	NA	FALSE	Zm00004b033045	One-to-One	mRNA	moderate	missense_variant
Zm00001d046774	1	mu1093615	UFMu-13992	1	C2H2	132	115	115/132	TRUE	Zm00004b033050	One-to-One	mRNA	moderate	missense_variant
Zm00001d046778	1	mu1017700	UFMu-00947	1	NA	NA	NA	NA	FALSE	Zm00004b033057	One-to-One	mRNA	high	frameshift_variant
Zm00001d046781	2	mu1016853|mu1019910	UFMu-02379,UFMu-03124,UFMu-04611,UFMu-05701|UFMu-00805	2	NA	NA	NA	NA	FALSE	Zm00004b033059	One-to-One	mRNA	high	frameshift_variant
Zm00001d046788	3	mu1016854|mu1046010|mu1075265	UFMu-01252,UFMu-01873|UFMu-05784|UFMu-05784	>=3	NA	NA	NA	NA	FALSE	Zm00004b033066	One-to-One	mRNA	moderate	missense_variant
Zm00001d046790	2	mu1084236|mu1093617	UFMu-10192|UFMu-12061	2	NA	NA	NA	NA	FALSE	Zm00004b033068	One-to-One	mRNA	moderate	missense_variant
Zm00001d046792	5	mu1018572|mu1018572|mu1054619|mu1061218|mu1095529	UFMu-00671|UFMu-07728|UFMu-06539|UFMu-07803|UFMu-12012	>=3	NA	NA	NA	NA	FALSE	Zm00004b033069	One-to-One	mRNA	moderate	missense_variant
Zm00001d046800	1	mu1016855	UFMu-01417,UFMu-01754	1	NA	NA	NA	NA	FALSE	Zm00004b033073	One-to-One	mRNA	high	frameshift_variant
Zm00001d046801	1	mu1084237	UFMu-10015	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	disruptive_inframe_deletion
Zm00001d046803	1	mu1022353	UFMu-02343	1	NA	NA	NA	NA	FALSE	Zm00004b033075	One-to-One	mRNA	moderate	missense_variant
Zm00001d046810	2	mu1040126|mu1040127	UFMu-04147|UFMu-02858	2	NA	NA	NA	NA	FALSE	Zm00004b033078	One-to-One	mRNA	moderate	missense_variant
Zm00001d046827	1	mu1010033	UFMu-08235,UFMu-11175	1	NA	NA	NA	NA	FALSE	Zm00004b033093	One-to-One	mRNA	moderate	missense_variant
Zm00001d046828	3	mu1007720|mu1061220|mu1061221	UFMu-00368,UFMu-01378|UFMu-08183|UFMu-08196	>=3	NA	NA	NA	NA	FALSE	Zm00004b033094,Zm00004b033095	Many-to-Many	mRNA	high	splice_acceptor_variant
Zm00001d046835	6	mu1021245|mu1046012|mu1049840|mu1054624|mu1068734|mu1078812	UFMu-01646|UFMu-05782|UFMu-06175|UFMu-06545|UFMu-08574|UFMu-09063	>=3	NA	NA	NA	NA	FALSE	Zm00004b033098	One-to-One	mRNA	moderate	missense_variant
Zm00001d046837	1	mu1069926	UFMu-08648	1	NA	NA	NA	NA	FALSE	Zm00004b033101	One-to-One	mRNA	moderate	missense_variant
Zm00001d046838	4	mu1041888|mu1071516|mu1072408|mu1087342	UFMu-04704|UFMu-02888|UFMu-02271|UFMu-11006	>=3	NA	NA	NA	NA	FALSE	Zm00004b033102	One-to-One	mRNA	low	synonymous_variant
Zm00001d046864	1	mu1046013	UFMu-05491	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d046865	2	mu1049841|mu1093624	UFMu-06297|UFMu-11309	2	NA	NA	NA	NA	FALSE	Zm00004b033115	One-to-One	mRNA	moderate	missense_variant
Zm00001d046866	1	mu1021226	UFMu-01423,UFMu-04434	1	NA	NA	NA	NA	FALSE	Zm00004b033116	One-to-One	mRNA	low	synonymous_variant
Zm00001d046881	1	mu1021791	UFMu-01423	1	NA	NA	NA	NA	FALSE	Zm00004b033118	One-to-One	mRNA	high	exon_loss_variant
Zm00001d046882	2	mu1027258|mu1027258	UFMu-06546|UFMu-11149	2	NA	NA	NA	NA	FALSE	Zm00004b033119	One-to-One	mRNA	moderate	missense_variant
Zm00001d046888	1	mu1046014	UFMu-05735	1	NA	NA	NA	NA	FALSE	Zm00004b033121	One-to-One	mRNA	moderate	missense_variant
Zm00001d046898	4	mu1017427|mu1032939|mu1040134|mu1046016	UFMu-00949,UFMu-02303|UFMu-02898|UFMu-03300|UFMu-05882	>=3	NA	NA	NA	NA	FALSE	Zm00004b033131	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d046900	1	mu1095532	UFMu-13837	1	NA	NA	NA	NA	FALSE	Zm00004b033133	One-to-One	mRNA	modifier	intron_variant
Zm00001d046910	1	mu1049845	UFMu-05985	1	NA	NA	NA	NA	FALSE	Zm00004b033138	One-to-Many	mRNA	modifier	intron_variant
Zm00001d046915	5	mu1018045|mu1021011|mu1078816|mu1078817|mu1081985	UFMu-00948,UFMu-04886,UFMu-05383|UFMu-01268|UFMu-09034|UFMu-09400|UFMu-09473	>=3	NA	NA	NA	NA	FALSE	Zm00004b033144	One-to-One	mRNA	moderate	missense_variant
Zm00001d046916	1	mu1019807	UFMu-00947	1	NA	NA	NA	NA	FALSE	Zm00004b033145	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d046919	1	mu1054626	UFMu-06781	1	NA	NA	NA	NA	FALSE	Zm00004b033148	One-to-One	mRNA	moderate	missense_variant
Zm00001d046921	2	mu1020153|mu1069927	UFMu-00782|UFMu-08320,UFMu-09537	2	NA	NA	NA	NA	FALSE	Zm00004b033149	One-to-One	mRNA	moderate	missense_variant
Zm00001d046923	1	mu1061223	UFMu-07769	1	NA	NA	NA	NA	FALSE	Zm00004b033151	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d046925	1	mu1054627	UFMu-06719	1	CO-like	14	12	12/14	TRUE	Zm00004b033157	One-to-One	mRNA	no_change	NA
Zm00001d046933	1	mu1021791	UFMu-01423	1	NA	NA	NA	NA	FALSE	Zm00004b033164	One-to-One	mRNA	moderate	missense_variant
Zm00001d046934	1	mu1042171	UFMu-05356,UFMu-06525	1	NA	NA	NA	NA	FALSE	Zm00004b033165	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d046938	1	mu1061226	UFMu-08039	1	NA	NA	NA	NA	FALSE	Zm00004b033170	One-to-Many	mRNA	moderate	missense_variant
Zm00001d046939	4	mu1007529|mu1016498|mu1061228|mu1084245	UFMu-00193,UFMu-00985,UFMu-01735|UFMu-02271,UFMu-03264,UFMu-06434|UFMu-07881|UFMu-10066	>=3	NA	NA	NA	NA	FALSE	Zm00004b033170,Zm00004b033171	Many-to-Many,Many-to-One	mRNA	moderate	missense_variant
Zm00001d046940	1	mu1046017	UFMu-05723	1	NA	NA	NA	NA	FALSE	Zm00004b033173	One-to-Many	mRNA	high	splice_acceptor_variant
Zm00001d046941	1	mu1068738	UFMu-08566	1	NA	NA	NA	NA	FALSE	Zm00004b033173,Zm00004b033175	Many-to-Many,Many-to-One	mRNA	modifier	intron_variant
Zm00001d046948	3	mu1016500|mu1022683|mu1040135	UFMu-00807,UFMu-01755|UFMu-02159|UFMu-03742	>=3	NA	NA	NA	NA	FALSE	Zm00004b033181	One-to-One	mRNA	non-syntenic	intron_variant
Zm00001d046949	1	mu1040137	UFMu-04186	1	NA	NA	NA	NA	FALSE	Zm00004b033182	One-to-One	mRNA	low	synonymous_variant
Zm00001d046959	1	mu1040138	UFMu-03717	1	NA	NA	NA	NA	FALSE	Zm00004b033189	One-to-One	mRNA	modifier	intron_variant
Zm00001d046961	1	mu1046018	UFMu-05400	1	NA	NA	NA	NA	FALSE	Zm00004b033190	One-to-One	mRNA	moderate	missense_variant
Zm00001d046968	1	mu1078823	UFMu-09258	1	NA	NA	NA	NA	FALSE	Zm00004b033195	One-to-One	mRNA	high	frameshift_variant
Zm00001d046970	1	mu1093642	UFMu-11691	1	NA	NA	NA	NA	FALSE	Zm00004b033196,Zm00004b033198	Many-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d046973	1	mu1084249	UFMu-09991	1	NA	NA	NA	NA	FALSE	Zm00004b033203	One-to-One	mRNA	no_change	NA
Zm00001d046974	2	mu1042167|mu1078824	UFMu-04895|UFMu-09028	2	MYB_related	109	99	99/109	TRUE	Zm00004b033204	One-to-One	mRNA	non-syntenic	conservative_inframe_deletion
Zm00001d046978	1	mu1088500	UFMu-12073,UFMu-12548,UFMu-13245	1	NA	NA	NA	NA	FALSE	Zm00004b033205	One-to-One	mRNA	high	frameshift_variant
Zm00001d046979	2	mu1040141|mu1080137	UFMu-04186|UFMu-09343	2	NA	NA	NA	NA	FALSE	Zm00004b033206	One-to-One	mRNA	high	frameshift_variant
Zm00001d046999	2	mu1061235|mu1069931	UFMu-07750|UFMu-08587	2	NA	NA	NA	NA	FALSE	Zm00004b033217,Zm00004b033218	Many-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d047005	2	mu1049851|mu1087353	UFMu-06411,UFMu-07526|UFMu-11131	2	NA	NA	NA	NA	FALSE	Zm00004b033221	One-to-One	mRNA	no_change	NA
Zm00001d047006	2	mu1040144|mu1040144	UFMu-02860|UFMu-07612	2	NA	NA	NA	NA	FALSE	Zm00004b033222	One-to-One	mRNA	modifier	intron_variant
Zm00001d047013	1	mu1049852	UFMu-06505	1	NA	NA	NA	NA	FALSE	Zm00004b033229	One-to-One	mRNA	moderate	missense_variant
Zm00001d047015	2	mu1041893|mu1049853	UFMu-04791,UFMu-05243|UFMu-06527	2	NA	NA	NA	NA	FALSE	Zm00004b033230,Zm00004b033231	Many-to-Many	mRNA	moderate	missense_variant
Zm00001d047017	3	mu1061236|mu1068743|mu1078829	UFMu-08145|UFMu-08605|UFMu-08917	>=3	bHLH	190	167	167/190	TRUE	Zm00004b033231	Many-to-One	mRNA	no_change	NA
Zm00001d047020	1	mu1040147	UFMu-03642	1	NA	NA	NA	NA	FALSE	Zm00004b033232	One-to-One	mRNA	non-syntenic	exon_loss_variant
Zm00001d047025	1	mu1093650	UFMu-12140	1	NA	NA	NA	NA	FALSE	Zm00004b033236	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d047028	3	mu1016505|mu1072410|mu1093651	UFMu-01395|UFMu-01936|UFMu-11297	>=3	NA	NA	NA	NA	FALSE	Zm00004b033238,Zm00004b033239	Many-to-Many	mRNA	low	synonymous_variant
Zm00001d047030	5	mu1020123|mu1031161|mu1040148|mu1058068|mu1087354	UFMu-00797|UFMu-02812|UFMu-03654|UFMu-07180|UFMu-10835	>=3	NA	NA	NA	NA	FALSE	Zm00004b033238,Zm00004b033239	Many-to-Many	mRNA	moderate	missense_variant
Zm00001d047034	1	mu1080138	UFMu-09143	1	NA	NA	NA	NA	FALSE	Zm00004b033242	One-to-One	mRNA	high	frameshift_variant
Zm00001d047035	3	mu1016506|mu1080252|mu1093652	UFMu-02048|UFMu-02163|UFMu-11281	>=3	NA	NA	NA	NA	FALSE	Zm00004b033243	One-to-One	mRNA	high	frameshift_variant
Zm00001d047042	1	mu1049859	UFMu-06518	1	NA	NA	NA	NA	FALSE	Zm00004b033247	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d047043	2	mu1022178|mu1080140	UFMu-02220|UFMu-09343	2	NA	NA	NA	NA	FALSE	Zm00004b033248	One-to-One	mRNA	high	splice_donor_variant
Zm00001d047044	1	mu1071523	UFMu-03034	1	NA	NA	NA	NA	FALSE	Zm00004b033250	One-to-One	mRNA	moderate	missense_variant
Zm00001d047050	1	mu1016507	UFMu-01875,UFMu-04177,UFMu-04529,UFMu-05414,UFMu-07995	1	NA	NA	NA	NA	FALSE	Zm00004b033254	One-to-One	mRNA	high	frameshift_variant
Zm00001d047053	4	mu1029761|mu1034370|mu1035363|mu1049860	UFMu-02902|UFMu-03243|UFMu-03202|UFMu-06344	>=3	NA	NA	NA	NA	FALSE	Zm00004b033256	One-to-One	mRNA	high	frameshift_variant
Zm00001d047054	3	mu1008038|mu1054638|mu1054638	UFMu-00167|UFMu-06593|UFMu-10511	>=3	NA	NA	NA	NA	FALSE	Zm00004b033257	One-to-One	mRNA	moderate	missense_variant
Zm00001d047057	3	mu1022201|mu1049861|mu1082659	UFMu-02196,UFMu-07180|UFMu-06408|UFMu-09463	>=3	NA	NA	NA	NA	FALSE	Zm00004b033259	One-to-Many	mRNA	modifier	intron_variant
Zm00001d047058	7	mu1022201|mu1032081|mu1049861|mu1049862|mu1049862|mu1070596|mu1082659	UFMu-02196,UFMu-07180|UFMu-02693|UFMu-06408|UFMu-06002|UFMu-11310|UFMu-02715|UFMu-09463	>=3	NA	NA	NA	NA	FALSE	Zm00004b033259,Zm00004b033260	Many-to-Many,Many-to-One	mRNA	no_change	NA
Zm00001d047063	1	mu1084252	UFMu-10004	1	NA	NA	NA	NA	FALSE	Zm00004b033266	One-to-One	mRNA	moderate	missense_variant
Zm00001d047068	1	mu1093655	UFMu-12287	1	NA	NA	NA	NA	FALSE	Zm00004b033270	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d047074	1	mu1073537	UFMu-03256	1	NA	NA	NA	NA	FALSE	Zm00004b033275	One-to-One	mRNA	moderate	missense_variant
Zm00001d047102	1	mu1042159	UFMu-04889	1	NA	NA	NA	NA	FALSE	Zm00004b033335	One-to-One	mRNA	moderate	missense_variant
Zm00001d047103	2	mu1009839|mu1033236	UFMu-00295|UFMu-03455	2	NA	NA	NA	NA	FALSE	Zm00004b033336	One-to-One	mRNA	non-syntenic	frameshift_variant
Zm00001d047104	4	mu1018411|mu1051380|mu1075685|mu1081996	UFMu-03022,UFMu-03395,UFMu-04462,UFMu-05406|UFMu-06358,UFMu-06765,UFMu-07122|UFMu-05428|UFMu-09505	>=3	NA	NA	NA	NA	FALSE	Zm00004b033338	One-to-One	mRNA	moderate	missense_variant
Zm00001d047119	4	mu1019712|mu1028511|mu1046035|mu1088160	UFMu-01198|UFMu-01155|UFMu-05569|UFMu-10818	>=3	NA	NA	NA	NA	FALSE	Zm00004b033353	One-to-One	mRNA	no_change	NA
Zm00001d047125	1	mu1093676	UFMu-12090	1	NA	NA	NA	NA	FALSE	Zm00004b033357	One-to-One	mRNA	moderate	missense_variant
Zm00001d047126	4	mu1046036|mu1050356|mu1054655|mu1061249	UFMu-05793|UFMu-06118|UFMu-06540|UFMu-07804	>=3	NA	NA	NA	NA	FALSE	Zm00004b033358	One-to-One	mRNA	high	frameshift_variant
Zm00001d047128	2	mu1042154|mu1087365	UFMu-05025|UFMu-11021	2	NA	NA	NA	NA	FALSE	Zm00004b033359	One-to-One	mRNA	moderate	missense_variant
Zm00001d047130	2	mu1078842|mu1082663	UFMu-09287|UFMu-09498	2	NA	NA	NA	NA	FALSE	Zm00004b033361	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d047162	3	mu1042152|mu1046038|mu1088162	UFMu-05113|UFMu-05381|UFMu-11011	>=3	NA	NA	NA	NA	FALSE	Zm00004b033378	One-to-One	mRNA	moderate	missense_variant
Zm00001d047163	1	mu1068766	UFMu-08588	1	NA	NA	NA	NA	FALSE	Zm00004b033379	One-to-One	mRNA	high	stop_gained
Zm00001d047166	1	mu1093680	UFMu-12338	1	NA	NA	NA	NA	FALSE	Zm00004b033380	One-to-One	mRNA	moderate	missense_variant
Zm00001d047168	1	mu1040169	UFMu-04198	1	NA	NA	NA	NA	FALSE	Zm00004b033381	One-to-One	mRNA	high	frameshift_variant
Zm00001d047174	1	mu1058090	UFMu-07602	1	NA	NA	NA	NA	FALSE	Zm00004b033389	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d047182	1	mu1021049	UFMu-01408	1	MYB	163	144	144/163	TRUE	NA	NA	mRNA	non-syntenic	NA
Zm00001d047183	1	mu1049881	UFMu-06341	1	NA	NA	NA	NA	FALSE	Zm00004b033395	One-to-One	mRNA	high	stop_gained
Zm00001d047184	1	mu1040172	UFMu-03708,UFMu-04556,UFMu-05980	1	NA	NA	NA	NA	FALSE	Zm00004b033396	One-to-One	mRNA	moderate	missense_variant
Zm00001d047186	2	mu1040173|mu1084260	UFMu-02611|UFMu-10378	2	NA	NA	NA	NA	FALSE	Zm00004b033397	One-to-One	mRNA	low	synonymous_variant
Zm00001d047187	1	mu1032526	UFMu-02691	1	NA	NA	NA	NA	FALSE	Zm00004b033398	One-to-One	mRNA	moderate	missense_variant
Zm00001d047192	1	mu1016528	UFMu-02145,UFMu-06927	1	NA	NA	NA	NA	FALSE	Zm00004b033399,Zm00004b033403	Many-to-Many,Many-to-One	mRNA	moderate	missense_variant
